,Material,Space Group,ehull,Z_x,Electronegativity_x,IonizationPotential_x,ElectronAffinity_x,HOMO_x,LUMO_x,r_s_orbital_x,r_p_orbital_x,r_d_orbital_x,r_atomic_nonbonded_x,r_valence_lastorbital_x,r_covalent_x,Valence_x,PeriodicColumn_x,PeriodicColumn_upto18_x,NumberUnfilledOrbitals_x,Polarizability_x,Z_y,Electronegativity_y,IonizationPotential_y,ElectronAffinity_y,HOMO_y,LUMO_y,r_s_orbital_y,r_p_orbital_y,r_d_orbital_y,r_atomic_nonbonded_y,r_valence_lastorbital_y,r_covalent_y,Valence_y,PeriodicColumn_y,PeriodicColumn_upto18_y,NumberUnfilledOrbitals_y,Polarizability_y
542,CdO2,P-1,0.7336949621991529,48,1.69,-9.2605,1.6111,-5.657,-0.9432,1.2355,1.804,0.5192,1.48,1.2355,1.44,12.0,2.0,12.0,0.0,46.8,8,3.44,-16.305999999999997,-2.8171,-9.0305,4.2084,0.4608,0.4333,1.075,0.73,0.4333,0.66,6.0,6.0,16.0,2.0,5.24
543,CrO2,P-6m2,0.16837984535271855,24,1.66,-7.3295,-0.7587,-4.4654,0.49,1.4266,1.4063,0.4392,1.27,0.4392,1.39,6.0,6.0,6.0,6.0,78.0,8,3.44,-16.305999999999997,-2.8171,-9.0305,4.2084,0.4608,0.4333,1.075,0.73,0.4333,0.66,6.0,6.0,16.0,2.0,5.24
544,CsO2,P-4m2,1.2092263651871262,55,0.79,-3.8463,-0.5091,-2.0859,-0.2279,2.5357,2.7555,1.8065,2.25,2.5357,2.44,1.0,1.0,1.0,1.0,399.9,8,3.44,-16.305999999999997,-2.8171,-9.0305,4.2084,0.4608,0.4333,1.075,0.73,0.4333,0.66,6.0,6.0,16.0,2.0,5.24
545,FeO2,P-4m2,0.19572152915043373,26,1.83,-7.4058,-1.4423,-4.4232,-0.5256,1.3369,1.7071,0.3822,1.25,0.3822,1.32,8.0,8.0,8.0,4.0,58.0,8,3.44,-16.305999999999997,-2.8171,-9.0305,4.2084,0.4608,0.4333,1.075,0.73,0.4333,0.66,6.0,6.0,16.0,2.0,5.24
546,GeO2,P-4m2,0.15224786814692348,32,2.01,-7.3928,-0.7121,-3.8948,3.4236,0.922,1.1721,0.2666,1.22,1.1721,1.2,14.0,4.0,14.0,4.0,39.43,8,3.44,-16.305999999999997,-2.8171,-9.0305,4.2084,0.4608,0.4333,1.075,0.73,0.4333,0.66,6.0,6.0,16.0,2.0,5.24
547,GeO2,P-3m1,0.07845125804849218,32,2.01,-7.3928,-0.7121,-3.8948,3.4236,0.922,1.1721,0.2666,1.22,1.1721,1.2,14.0,4.0,14.0,4.0,39.43,8,3.44,-16.305999999999997,-2.8171,-9.0305,4.2084,0.4608,0.4333,1.075,0.73,0.4333,0.66,6.0,6.0,16.0,2.0,5.24
548,GeO2,P-6m2,0.6386474106724573,32,2.01,-7.3928,-0.7121,-3.8948,3.4236,0.922,1.1721,0.2666,1.22,1.1721,1.2,14.0,4.0,14.0,4.0,39.43,8,3.44,-16.305999999999997,-2.8171,-9.0305,4.2084,0.4608,0.4333,1.075,0.73,0.4333,0.66,6.0,6.0,16.0,2.0,5.24
549,HfO2,P-4m2,0.509503664274237,72,1.3,-6.4985,0.7772,-2.6937,-0.4781,1.5366,1.7316,0.8951,1.5,0.8951,1.75,18.0,4.0,4.0,8.0,109.0,8,3.44,-16.305999999999997,-2.8171,-9.0305,4.2084,0.4608,0.4333,1.075,0.73,0.4333,0.66,6.0,6.0,16.0,2.0,5.24
550,HfO2,P-3m1,0.21372639268207427,72,1.3,-6.4985,0.7772,-2.6937,-0.4781,1.5366,1.7316,0.8951,1.5,0.8951,1.75,18.0,4.0,4.0,8.0,109.0,8,3.44,-16.305999999999997,-2.8171,-9.0305,4.2084,0.4608,0.4333,1.075,0.73,0.4333,0.66,6.0,6.0,16.0,2.0,5.24
551,HfO2,P-6m2,0.7696147621530187,72,1.3,-6.4985,0.7772,-2.6937,-0.4781,1.5366,1.7316,0.8951,1.5,0.8951,1.75,18.0,4.0,4.0,8.0,109.0,8,3.44,-16.305999999999997,-2.8171,-9.0305,4.2084,0.4608,0.4333,1.075,0.73,0.4333,0.66,6.0,6.0,16.0,2.0,5.24
